NCPPB ID	BioSample	NCBI strain	NCBI assemblies	PhytoBacExplorer assemblies	NCPPB_number	taxon	genus	species	sub_species	pathovar	catalogue_name	name_as_received	synonyms	organism_author	organism_type	type_strain	pathotype_strain	country_of_origin	country_of_isolation	location	location_name	host	isolated_from	isolated_by	donor	donor_institution	donor_reference	year_of_accession	year_of_isolation	pathogenic_to	pathogenicity_confirmed	literature	public_notes	other_collections	sequence_types	sequenced	sequencing_notes	url_link_ncbi	url_link_q_bank	detail_url	Basis for match
NCPPB 283					283	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Zimbabwe		2	NCPPB Primary Storage	Solanum panduraforme			G.R. Bates		7195	1950	1950		No		Biovar I.			No				https://ncppb.fera.co.uk/furtherinfo/283	
NCPPB 285					285	Pseudomonas cichorii					Pseudomonas cichorii (Swingle 1925) Stapp 1928	Psedomonas papaveris		(Swingle 1925) Stapp 1928	Bacteria	No	No	Tanzania		2	NCPPB Primary Storage	Papaver rhoeas (Shirley poppy)			R.A. Lelliott			1951	1951		No		LOPAT Group III. REP-PCR cluster 52			No				https://ncppb.fera.co.uk/furtherinfo/285	
NCPPB 291					291	Pseudomonas savastanoi pv. glycinea					Pseudomonas savastanoi pv. glycinea ( Coerper 1919 ) Gardan et al. 1992	Pseudomonas glycinea Coerper 1919	Pseudomonas syringae pv. glycinea (Coerper 1919) Young et al.1976	( Coerper 1919 ) Gardan et al. 1992	Bacteria	No	No	UK		2	NCPPB Primary Storage	Glycine max.			M. Noble			1951			No					No				https://ncppb.fera.co.uk/furtherinfo/291	
NCPPB 292					292	Pseudomonas aeruginosa					Pseudomonas aeruginosa (Schroeter 1872) Migula 1900			(Schroeter 1872) Migula 1900	Bacteria	No	No	Philippines		2	NCPPB Primary Storage	Nicotiana tabacum			E. Hellmers	ex W.H. Burkholder PP2		1951	1925		No			ATCC 19305, NCTC 9433		No				https://ncppb.fera.co.uk/furtherinfo/292	
NCPPB 294					294	Pseudomonas sp.					Pseudomonas syringae van Hall 1902	P. syringae f. sp. populae		Migula 1894	Bacteria	No	No	UK		2	NCPPB Primary Storage	Populus sp.		K.A. Sabet 2				1951			No		LOPAT Ib. REP-PCR close to some P.viridiflava strains. Genomospecies 7 rpoD 15-4-2016	ICMP 3885		No				https://ncppb.fera.co.uk/furtherinfo/294	
NCPPB 297					297	Pseudomonas syringae pv. pisi					Pseudomonas syringae pv. pisi (Sacket 1916) Young, Dye & Wilkie 1978	Pseudomonas  pisi		(Sacket 1916) Young, Dye & Wilkie 1978	Bacteria	No	No	USA		2	NCPPB Primary Storage	Pisum sativum			ATCC 11042			1951	1945		Yes		Race 2.			No				https://ncppb.fera.co.uk/furtherinfo/297	
NCPPB 298	SAMD00538057 	 			298	Pseudomonas syringae pv. pisi					Pseudomonas syringae pv. pisi (Sacket 1916) Young, Dye & Wilkie 1978	Pseudomonas  pisi		(Sacket 1916) Young, Dye & Wilkie 1978	Bacteria	No	No	USA		2	NCPPB Primary Storage	Pisum sativum			ATCC 11043	ex W.H. Burkholder PP6		1951	1945		Yes					No				https://ncppb.fera.co.uk/furtherinfo/298	 Other_CC = ATCC 11043 ; ICMP 2789 ; NCPPB 298; 
NCPPB 300					300	Pseudomonas syringae pv. pisi					Pseudomonas syringae pv. pisi (Sacket 1916) Young, Dye & Wilkie 1978	Pseudomonas  pisi		(Sacket 1916) Young, Dye & Wilkie 1978	Bacteria	No	No	Canada				Pisum sativum			H. Katznelson			1951			Yes					No				https://ncppb.fera.co.uk/furtherinfo/300	
NCPPB 310					310	Pseudomonas syringae pv. syringae					Pseudomonas syringae pv. syringae van Hall 1902	Pseudomonas syringae		van Hall 1902	Bacteria	No	No	UK		2	NCPPB Primary Storage	Prunus avium.			J.E. Crosse			1950	1950		Yes			ICMP 3027		No				https://ncppb.fera.co.uk/furtherinfo/310	
NCPPB 323					323	Stenotrophomonas beteli					Stenotrophomonas maltophilia (Hugh)?	Pseudomonas betle (Ragunathan 1928) Savulescu 1947	Pseudomonas beteli corrig. (Ragunathan 1928) Savulescu 1947, Pseudomonas betle (Ragunathan 1928) Savulescu 1947, 'Bacterium betle' Ragunathan 1928	(Ragunathan 1928) Nguyen et al. 2024	Bacteria	Yes	No	Sri Lanka				Piper betle			W.J. Dowson			1953	1953		No			ATCC 19861, ICMP 2820, DSMZ 21257, CFBP 4337, LMG 978, CCUG 58727		No				https://ncppb.fera.co.uk/furtherinfo/323	
NCPPB 325					325	Ralstonia solanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Yabuuchi et al. 1996	Bacteria	Yes	No	USA		2	NCPPB Primary Storage	Solanum lycopersicum			A. Kelman		60-1	1953			Yes		Race 1 Biovar I. SMT reference strain (EC official method),	ATCC 11696, ICPB PS256, ICMP 5712, CFBP 2047, SMT41, LMG 2299, DSMZ 9544, CCUG 1		No				https://ncppb.fera.co.uk/furtherinfo/325	
