NCPPB ID	BioSample	NCBI strain	NCBI assemblies	PhytoBacExplorer assemblies	NCPPB_number	taxon	genus	species	sub_species	pathovar	catalogue_name	name_as_received	synonyms	organism_author	organism_type	type_strain	pathotype_strain	country_of_origin	country_of_isolation	location	location_name	host	isolated_from	isolated_by	donor	donor_institution	donor_reference	year_of_accession	year_of_isolation	pathogenic_to	pathogenicity_confirmed	literature	public_notes	other_collections	sequence_types	sequenced	sequencing_notes	url_link_ncbi	url_link_q_bank	detail_url	Basis for match
NCPPB 2318					2318	Pseudomonas syringae pv. syringae					Pseudomonas syringae pv. syringae van Hall 1902	Pseudomonas syringae		van Hall 1902	Bacteria	No	No	Romania		2	NCPPB Primary Storage	Prunus domestica		I. Lazar 925				1970	1969		No			ICMP 3694		No				https://ncppb.fera.co.uk/furtherinfo/2318	
NCPPB 2319					2319	Pseudomonas syringae pv. syringae					Pseudomonas syringae pv. syringae van Hall 1902	Pseudomonas syringae		van Hall 1902	Bacteria	No	No	Romania		2	NCPPB Primary Storage	Prunus persica		I. Lazar 531				1970	1969		No			ICMP 3695		No				https://ncppb.fera.co.uk/furtherinfo/2319	
NCPPB 2321					2321	Pseudomonas syringae					Pseudomonas syringae pv. morsprunorum (Wormald 1931) Young, Dye & Wilkie 1978	Pseudomonas morsprunorum	Pseudomonas syringae pv. morsprunorum (Wormald 1931) Young, Dye & Wilkie 1978	van Hall 1902	Bacteria	No	No	Romania				Prunus domestica		I. Lazar 1018				1970	1969		No		Partial gene (rpoD) sequence suggests this is not Pseudomonas syringae pv. morsprunorum - Closest match is P. poae (NCPPB Aug 2017)							https://ncppb.fera.co.uk/furtherinfo/2321	
NCPPB 2322					2322	Pseudomonas syringae pv. morsprunorum					Pseudomonas syringae pv. morsprunorum (Wormald 1931) Young, Dye & Wilkie 1978	Pseudomonas morsprunorum		(Wormald 1931) Young, Dye & Wilkie 1978	Bacteria	No	No	Romania				Prunus domestica		I. Lazar 1201				1970	1969		No		Whole genome sequencing places this strain with other Race 1 Psm in the Pseudomonas amygdali clade (NCPPB May 2026)			No				https://ncppb.fera.co.uk/furtherinfo/2322	
NCPPB 2324					2324	Pseudomonas syringae pv. persicae					Pseudomonas syringae pv. persicae (Prunier et al. 1970) Young, Dye & Wilkie 1978	Pseudomonas morsprunorum f.sp. persicae	Pseudomonas syringae pv. morsprunorum f.sp. persicae Prunier et al. 1970	(Prunier et al. 1970) Young, Dye & Wilkie 1978	Bacteria	No	No	France				Prunus persica		A. Vigouroux A17-2				1970	1968		Yes									https://ncppb.fera.co.uk/furtherinfo/2324	
NCPPB 2325					2325	Pseudomonas tolaasii					Pseudomonas tolaasii Paine 1919	Pseudomonas tolaasii		Paine 1919	Bacteria	No	No	Italy				Agaricus bisporus		G.L. Ercolani 117				1970	1969		Yes		WGS confirms this is P. tolaasii. LOPAT Group V							https://ncppb.fera.co.uk/furtherinfo/2325	
NCPPB 2326					2326	Pseudomonas syringae pv. syringae					Pseudomonas syringae pv. syringae van Hall 1902	Pseudomonas syringae		van Hall 1902	Bacteria	No	No	Italy				Citrus sp.		G.L. Ercolani 120				1970	1970		Yes			ICMP 4496						https://ncppb.fera.co.uk/furtherinfo/2326	
NCPPB 2327					2327	Pseudomonas savastanoi pv. savastanoi					Pseudomonas savastanoi pv. savastanoi (ex Smith 1908) Gardan et al. 1992	Pseudomonas savastanoi Smith 1908	Pseudomonas syringae pv. savastanoi (ex Smith 1908) Young Dye & Wilkie 1978	(ex Smith 1908) Gardan et al. 1992	Bacteria	No	No	Italy				Olea europaea		G.L. Ercolani 206				1970	1969		Yes					No				https://ncppb.fera.co.uk/furtherinfo/2327	
NCPPB 2328					2328	Pseudomonas savastanoi pv. savastanoi					Pseudomonas savastanoi pv. savastanoi (ex Smith 1908) Gardan et al. 1992	Pseudomonas savastanoi Smith 1908	Pseudomonas syringae pv. savastanoi (ex Smith 1908) Young Dye & Wilkie 1978	(ex Smith 1908) Gardan et al. 1992	Bacteria	No	No	Italy				Ligustrum japonicum		G.L. Ercolani 218				1970	1968		Yes	Bottalico, A., Ercolani, G.L. 1971. Phytopath. Mediterranea 10: 130	Atypical REP-PCR profile							https://ncppb.fera.co.uk/furtherinfo/2328	
NCPPB 2331					2331	Pseudomonas syringae pv. eriobotryae					Pseudomonas syringae pv. eriobotryae (Takimoto 1931) Young, Dye & Wilkie 1978	Pseudomonas eriobotryae		(Takimoto 1931) Young, Dye & Wilkie 1978	Bacteria	No	Yes	USA				Eriobotrya japonica		ex. Lai	D.C. Hildebrand		404	1970	1970		Yes			ICMP 4455, LMG 2184		No				https://ncppb.fera.co.uk/furtherinfo/2331	
NCPPB 2341					2341	Pseudomonas viridiflava					Pseudomonas viridiflava (Burkholder 1930) Dowson 1939	Pseudomonas viridiflava		(Burkholder 1930) Dowson 1939	Bacteria	No	No	UK				Brassica oleracea var. gemmifera		F.W. Catton C7				1970	1970		No		LOPAT Group II.							https://ncppb.fera.co.uk/furtherinfo/2341	
NCPPB 2350					2350	Acidovorax sp.					Acidovorax sp.	Pseudomonas sp.(pathogenic)		Willems et al. 1990 emend. Willems et al. 1992	Bacteria	No	No	Puerto Rico				Dracaena sanderiana		J.W. Miller 069-532W				1971	1969		Yes	Miller, J.W., Wehlburg, C. 1969. Proc. Flor. State Hort. Soc. 82: 368								https://ncppb.fera.co.uk/furtherinfo/2350	
NCPPB 2353					2353	Pseudomonas syringae pv. pisi					Pseudomonas syringae pv. pisi (Sacket 1916) Young, Dye & Wilkie 1978	Pseudomonas  pisi		(Sacket 1916) Young, Dye & Wilkie 1978	Bacteria	No	No	New Zealand				Pisum Sativum var. arvense		ex J. Tickle	D.W. Dye		PN13	1971	1970		Yes									https://ncppb.fera.co.uk/furtherinfo/2353	
NCPPB 2354					2354	Pseudomonas syringae pv. pisi					Pseudomonas syringae pv. pisi (Sacket 1916) Young, Dye & Wilkie 1978	Pseudomonas  pisi		(Sacket 1916) Young, Dye & Wilkie 1978	Bacteria	No	No	New Zealand				Pisum sativum		ex J.M. Young 8;	D.W. Dye		PN9	1971	1969		Yes									https://ncppb.fera.co.uk/furtherinfo/2354	
NCPPB 2355					2355	Pseudomonas syringae pv. ciccaronei					Pseudomonas syringae pv. ciccaronei (Ercolani & Caldarola 1972) Young, Dye & Wilkie 1978	Pseudomonas ciccaronei		(Ercolani & Caldarola 1972) Young, Dye & Wilkie 1978	Bacteria	No	Yes	Italy				Ceratonia siliqua			G.L. Ercolani		CR113	1971	1969		Yes			ICPB PC146, ICMP 5710, CFBP 2342, LMG 5541, ATCC 33115		No				https://ncppb.fera.co.uk/furtherinfo/2355	
NCPPB 2356					2356	Pseudomonas syringae pv. mellea					Pseudomonas syringae pv. mellea (Johnson 1923) Young, Dye & Wilkie 1978	Pseudomonas  mellea		(Johnson 1923) Young, Dye & Wilkie 1978	Bacteria	No	Yes	Japan				Nicotiana tabacum		K. Ono N6802				1971	1968		Yes		LOPAT Gp Ib (NCPPB).	ICMP 5711, CFBP 2344, LMG 5072						https://ncppb.fera.co.uk/furtherinfo/2356	
NCPPB 2380					2380	Pseudomonas sp.					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas sp. Migula 1894	(Brown 1918) Stevens 1925	Bacteria	No	No	UK				Lactuca sativa			C. Scarlett		M7A 2L	1971	1971		No		Whole genome sequencing indicates this strain is not P. marginalis (NCPPB July 2023)							https://ncppb.fera.co.uk/furtherinfo/2380	
NCPPB 2385					2385	Pseudomonas savastanoi pv. phaseolicola					Pseudomonas syringae pv. phaseolicola ( Burkholder 1926 ) Young et al. 1976	Pseudomonas phaseolicola Burkholder 1926	Pseudomonas syringae pv. phaseolicola (Burkholder 1926) Young et al. 1978	( Burkholder 1926 ) Gardan et al. 1992	Bacteria	No	No	Australia				Glycine javanica		ex M.L. Moffett 082	J.C. Johnson		18859	1971	1970		Yes		Causes halo-less leaf spot.Atypical REP-PCR profile							https://ncppb.fera.co.uk/furtherinfo/2385	
NCPPB 2386					2386	Robbsia andropogonis					Burkholderia andropogonis (Smith 1911) Gillis et al. 1995	Pseudomonas stizolobii	Pseudomonas andropogonis (Smith 1911) Stapp 1928, Burkholderia adropogonis (Smith 1911) Gillis et al. 1995, Paraburkholderia andropogonis (Gillis et al. 1995) Sawana et al. 2014	Lopes-Santos et al 2017	Bacteria	No	No	Australia				Vicia sativa		A.C. Hayward 0268a				1971	1967		Yes									https://ncppb.fera.co.uk/furtherinfo/2386	
NCPPB 2390					2390	Pseudomonas syringae					Pseudomonas sp.	Pseudomonas sp.(pathogenic)		van Hall 1902	Bacteria	No	No	USA				Phleum pratense		R.D. Durbin 1169				1971	1967		Yes	Taylor, P.A., Maxwell, D.P. Durbin, R.D. 1971. Plant Dis. Reptr. 55: 361	Fatty acid profile similar to P.s. pv. coronafaciens. LOPAT +----							https://ncppb.fera.co.uk/furtherinfo/2390	
NCPPB 2391					2391	Burkholderia glumae					Burkholderia glumae (Kurita and Tabei 1967) Urakami et al. 1994	Burkholderia glumae (Kurita and Tabei 1967) Urakami et al. 1994	Pseudomonas glumae Kurita and Tabei 1967	(Kurita and Tabei 1967) Urakami et al. 1994	Bacteria	No	No	Japan				Oryza sativa		T. Tominaga G741				1971	1967		No									https://ncppb.fera.co.uk/furtherinfo/2391	
NCPPB 2394					2394	Pseudomonas syringae pv. striafaciens					Pseudomonas syringae pv. striafaciens (Elliott 1927) Young, Dye & Wilkie 1978	Pseudomonas striafaciens		(Elliott 1927) Young, Dye & Wilkie 1978	Bacteria	No	No	Japan				Avena sativa		T. Tominaga P1-19-1				1971	1967		Yes									https://ncppb.fera.co.uk/furtherinfo/2394	
NCPPB 2395					2395	Pseudomonas syringae pv. coronafaciens					Pseudomonas syringae pv. coronafaciens (Elliott 1920) Young, Dye & Wilkie 1978	Pseudomonas. coronafaciens		(Elliott 1920) Young, Dye & Wilkie 1978	Bacteria	No	No	Japan				Avena sativa		T. Tominaga P1-5-3				1971	1967		No									https://ncppb.fera.co.uk/furtherinfo/2395	
NCPPB 2396					2396	Pseudomonas syringae pv. atropurpurea					Pseudomonas syringae pv. atropurpurea (Reddy & Godkin 1923) Young, Dye & Wilkie 1978	Pseudomonas atropurpurea		(Reddy & Godkin 1923) Young, Dye & Wilkie 1978	Bacteria	No	No	Japan				Westerwold rye-grass		T. Tominaga 704				1971	1967		No									https://ncppb.fera.co.uk/furtherinfo/2396	
NCPPB 2397					2397	Pseudomonas syringae pv. atropurpurea					Pseudomonas syringae pv. atropurpurea (Reddy & Godkin 1923) Young, Dye & Wilkie 1978	Pseudomonas atropurpurea		(Reddy & Godkin 1923) Young, Dye & Wilkie 1978	Bacteria	No	Yes	Japan				Lolium multiflorum		T. Tominaga Pl-6-1				1971	1967		Yes			ICMP 4457, CFBP 2340, LMG 5030		No				https://ncppb.fera.co.uk/furtherinfo/2397	
NCPPB 2398					2398	Acidovorax avenae					Acidovorax avenae subsp. avenae (Manns 1909) Willems et al. 1992	Pseudomonas alboprecipitans.	Acidovorax avenae subsp. avenae (Manns 1909) Willems et al. 1992, Pseudomonas avenae subsp. avenae Manns 1909	(Manns 1909) Willems et al. 1992	Bacteria	No	No	Japan				Bromus catharticus		T. Tominaga Pl-17-7				1971	1966		No		WGS confirms this strain is A. avenae (NCPPB March 2025). WGS (NCPPB May 2025) places this organism in a clade of other A. avenae strains mostly isolated in Japan.							https://ncppb.fera.co.uk/furtherinfo/2398	
NCPPB 2400					2400	Acidovorax avenae					Acidovorax avenae subsp. avenae (Manns 1909) Willems et al. 1992	Pseudomonas alboprecipitans.	Acidovorax avenae subsp. avenae (Manns 1909) Willems et al. 1992, Pseudomonas avenae subsp. avenae Manns 1909	(Manns 1909) Willems et al. 1992	Bacteria	No	No	Japan				Euchlaena mexicana		T. Tominaga T753				1971	1967		No									https://ncppb.fera.co.uk/furtherinfo/2400	
NCPPB 2401					2401	Acidovorax avenae					Acidovorax avenae subsp. avenae (Manns 1909) Willems et al. 1992	Pseudomonas alboprecipitans.	Acidovorax avenae subsp. avenae (Manns 1909) Willems et al. 1992, Pseudomonas avenae subsp. avenae Manns 1909	(Manns 1909) Willems et al. 1992	Bacteria	No	No	Japan				Zea mays		T. Tominaga Pl-17-1				1971	1966		No		WGS confirms this strain is A. avenae (NCPPB March 2025). WGS (NCPPB May 2025) places this organism in a clade with the type strain (NCPPB 1011) and other strains mostly isolated from Zea mays.							https://ncppb.fera.co.uk/furtherinfo/2401	
NCPPB 2402					2402	Acidovorax avenae					Acidovorax avenae subsp. avenae (Manns 1909) Willems et al. 1992	Pseudomonas alboprecipitans.	Acidovorax avenae subsp. avenae (Manns 1909) Willems et al. 1992, Pseudomonas avenae subsp. avenae Manns 1909	(Manns 1909) Willems et al. 1992	Bacteria	No	No	Japan				Bromus inermis		T. Tominaga SB-3				1971	1967		No									https://ncppb.fera.co.uk/furtherinfo/2402	
NCPPB 2403					2403	Acidovorax avenae					Acidovorax avenae subsp. avenae (Manns 1909) Willems et al. 1992	Pseudomonas alboprecipitans.	Acidovorax avenae subsp. avenae (Manns 1909) Willems et al. 1992, Pseudomonas avenae subsp. avenae Manns 1909	(Manns 1909) Willems et al. 1992	Bacteria	No	No	Japan				Agropyron trichophorum			T. Tominaga		P1-17-4	1971	1966		No		WGS confirms this strain is A. avenae (NCPPB March 2025). WGS (NCPPB May 2025) places this organism in a clade of other A. avenae strains mostly isolated in Japan.							https://ncppb.fera.co.uk/furtherinfo/2403	
NCPPB 2411					2411	Pseudomonas savastanoi pv. glycinea					Pseudomonas savastanoi pv. glycinea ( Coerper 1919 ) Gardan et al. 1992	Pseudomonas glycinea Coerper 1919	Pseudomonas syringae pv. glycinea (Coerper 1919) Young et al.1976	( Coerper 1919 ) Gardan et al. 1992	Bacteria	No	Yes	New Zealand				Glycine max		ex D.R.W. Watson B149	D.W. Dye		PEll	1971	1968		No			ICMP 2189, CFBP 2214, LMG 5066						https://ncppb.fera.co.uk/furtherinfo/2411	
NCPPB 2412					2412	Pseudomonas tolaasii					Pseudomonas tolaasii Paine 1919	Pseudomonas tolaasii		Paine 1919	Bacteria	No	No	New Zealand				Agaricus bisporus		ex D.R.W. Watson A196	D.W. Dye		ND8	1971	1968		No		WGS confirms this is P. tolaasii. LOPAT Group V							https://ncppb.fera.co.uk/furtherinfo/2412	
NCPPB 2413					2413	Pseudomonas sp.					Pseudomonas tolaasii Paine 1919	Pseudomonas tolaasii	Pseudomonas tolaasii Paine 1919	Paine 1919	Bacteria	No	No	New Zealand				Agaricus bisporus		ex D.R.W. Watson B226	D.W. Dye		ND10	1971	1968		No		This strain was thought to be P. tolaasii but our WGS studies show that it is closer to P. edaphica. LOPAT Group V							https://ncppb.fera.co.uk/furtherinfo/2413	
NCPPB 2419					2419	Pseudomonas syringae pv. coronafaciens					Pseudomonas syringae pv. coronafaciens (Elliott 1920) Young, Dye & Wilkie 1978	Pseudomonas. coronafaciens		(Elliott 1920) Young, Dye & Wilkie 1978	Bacteria	No	No	Kenya				Avena sativa		D. C.Harris 110				1971	1970		No	Harder, D.E., Harris, D.C. 1973. E. Africa Agric. F. J 38: 241	Causes symptoms on oats intermediate between halo blight and stripe blight							https://ncppb.fera.co.uk/furtherinfo/2419	
NCPPB 2420					2420	Pseudomonas syringae pv. coronafaciens					Pseudomonas syringae pv. coronafaciens (Elliott 1920) Young, Dye & Wilkie 1978	Pseudomonas. coronafaciens		(Elliott 1920) Young, Dye & Wilkie 1978	Bacteria	No	No	Kenya				Avena sativa		D.C. Harris 109				1972	1970		Yes	Harder, D.E., Harris, D.C. 1973. E. Africa Agric. F. J 38: 241	Causes symptoms on oats intermediate between halo Blight and stripe blight (Harder & Harris, 1973).							https://ncppb.fera.co.uk/furtherinfo/2420	
NCPPB 2424					2424	Pseudomonas syringae pv. tomato					Pseudomonas syringae pv. tomato (Okabe 1933) Young, Dye and Wilkie 1978	Pseudomonas tomato		(Okabe 1933) Young, Dye and Wilkie 1978	Bacteria	No	No	Switzerland				Solanum lycopersicum		T. Burki 190				1971	1969		Yes									https://ncppb.fera.co.uk/furtherinfo/2424	
NCPPB 2426					2426	Pseudomonas syringae pv. syringae					Pseudomonas syringae pv. syringae van Hall 1902	Pseudomonas syringae		van Hall 1902	Bacteria	No	No	Switzerland		2	NCPPB Primary Storage	Prunus cerasus		T. Burki 59				1971	1965		No		LOPAT Gp Ib (NCPPB).			No				https://ncppb.fera.co.uk/furtherinfo/2426	
NCPPB 2427					2427	Pseudomonas syringae pv. morsprunorum					Pseudomonas syringae pv. morsprunorum (Wormald 1931) Young, Dye & Wilkie 1978	Pseudomonas morsprunorum		(Wormald 1931) Young, Dye & Wilkie 1978	Bacteria	No	No	Switzerland				Prunus armeniaca		T. Burki 89				1971	1965		No		Whole genome sequencing places this strain with other Race 1 Psm in the Pseudomonas amygdali clade (NCPPB May 2026)			No				https://ncppb.fera.co.uk/furtherinfo/2427	
NCPPB 2434					2434	Pseudomonas syringae					Pseudomonas syringae van Hall 1902	Pseudomonas syringae van Hall 1902		van Hall 1902	Bacteria	No	No	USA				Nerium oleander		Lai 4134				1972	1971		Yes		REP-PCR not P.savastanoi.Genomospecies 1?	ICMP 4527						https://ncppb.fera.co.uk/furtherinfo/2434	
NCPPB 2435					2435	Pseudomonas savastanoi pv. phaseolicola					Pseudomonas syringae pv. phaseolicola ( Burkholder 1926 ) Young et al. 1976	Pseudomonas phaseolicola Burkholder 1926	Pseudomonas syringae pv. phaseolicola (Burkholder 1926) Young et al. 1978	( Burkholder 1926 ) Gardan et al. 1992	Bacteria	No	No	USA				Phaseolus aureus			H.A.J. Hoitink			1972	1971		No					No				https://ncppb.fera.co.uk/furtherinfo/2435	
NCPPB 2441					2441	Robbsia andropogonis					Burkholderia andropogonis (Smith 1911) Gillis et al. 1995	Pseudomonas woodsii	Pseudomonas andropogonis (Smith 1911) Stapp 1928, Burkholderia adropogonis (Smith 1911) Gillis et al. 1995, Paraburkholderia andropogonis (Gillis et al. 1995) Sawana et al. 2014	Lopes-Santos et al 2017	Bacteria	No	No	USA				Setcreasea purpurea		J.W. Miller 069-686				1972	1969		Yes									https://ncppb.fera.co.uk/furtherinfo/2441	
NCPPB 2442					2442	Pseudomonas viridiflava					Pseudomonas viridiflava (Burkholder 1930) Dowson 1939	Pseudomonas viridiflava		(Burkholder 1930) Dowson 1939	Bacteria	No	No	UK				Antirrhinum sp.		J. Rudland F69				1972	1972		No		LOPAT Group II. REP-PCR cluster 88							https://ncppb.fera.co.uk/furtherinfo/2442	
NCPPB 2445	SAMN03879927 SAMN03976502 	  	GCF_001411965.1 GCF_003699065.1 		2445	Pseudomonas corrugata					Pseudomonas corrugata Roberts and Scarlett 1981 emend. Sutra et al. 1997	Pseudomonas corrugata		( ex Scarlett et al. 1978) Roberts & Scarlett 1981	Bacteria	Yes	No	UK		2	NCPPB Primary Storage	Solanum lycopersicum		G.F. Slade 939/1				1973	1972		No		REP-PCR cluster 45	ICMP 5819, ATCC 29736, CFBP 2431, LMG 2172		No				https://ncppb.fera.co.uk/furtherinfo/2445	 strain = NCPPB2445; title = Pcor NCPPB2445;  title = PcoNCPPB2445; strain = NCPPB2445; 
NCPPB 2447					2447	Pseudomonas corrugata					Pseudomonas corrugata Roberts and Scarlett 1981 emend. Sutra et al. 1997	Pseudomonas corrugata		( ex Scarlett et al. 1978) Roberts & Scarlett 1981	Bacteria	No	No	UK				Solanum lycopersicum		C.M. Scarlett M72/365/11				1972	1972		No		REP-PCR cluster 45							https://ncppb.fera.co.uk/furtherinfo/2447	
NCPPB 2455					2455	Pseudomonas corrugata					Pseudomonas corrugata Roberts and Scarlett 1981 emend. Sutra et al. 1997	Pseudomonas corrugata		( ex Scarlett et al. 1978) Roberts & Scarlett 1981	Bacteria	No	No	UK				Solanum lycopersicum		F.W. Catton C763				1972	1972		No									https://ncppb.fera.co.uk/furtherinfo/2455	
NCPPB 2459					2459	Pseudomonas sp.					Pseudomonas sp.	Pseudomonas sp. (not pathogenic)		Migula 1894	Bacteria	No	No	USA				Spinacia oleracea		D. Sands & L. Hankin 79-5				1972	1970		No		Fatty acids typical of Pseudomonas sp.LOPA -+++.Associated with plant material; not known to be pathogenic.							https://ncppb.fera.co.uk/furtherinfo/2459	
NCPPB 2460					2460	Pseudomonas sp.					Pseudomonas sp.	Pseudomonas sp. (not pathogenic)		Migula 1894	Bacteria	No	No	USA				Spinacia oleracea		D. Sands & L. Hankin 79-8				1972	1970		No		Fatty acids typical of Pseudomonas sp. LOPA-+++. Associated with plant material; not known to be pathogenic.							https://ncppb.fera.co.uk/furtherinfo/2460	
NCPPB 2464					2464	Pseudomonas sp.					Pseudomonas sp.	Pseudomonas sp. (not pathogenic)		Migula 1894	Bacteria	No	No	USA				Sewerage		D. Sands & L. Hankin S-150				1972	1972		No		Fatty acids typical of Pseudomonas sp. LOPA -+++. Associated with plant material; not known to be pathogenic.							https://ncppb.fera.co.uk/furtherinfo/2464	
NCPPB 2472	SAMN04420121 	 	GCF_001543125.1 		2472	Pseudomonas agarici					Pseudomonas agarici Young 1970	Pseudomonas sp.		Young 1970	Bacteria	No	No	UK				Agaricus bisporus			M. Bateson 1223c5			1972	1972		Yes		LOPAT Group III							https://ncppb.fera.co.uk/furtherinfo/2472	 title = Microbe sample from Pseudomonas agarici NCPPB 2472; strain = NCPPB 2472; 
NCPPB 2474					2474	Pseudomonas cichorii					Pseudomonas cichorii (Swingle 1925) Stapp 1928	Pseudomonas cichorii		(Swingle 1925) Stapp 1928	Bacteria	No	No	USA				Argemone mexicana		ex H.A. Bigham	R.E. Stall		PC72-21	1972	1972		Yes		LOPAT Group III. REP-PCR cluster 31							https://ncppb.fera.co.uk/furtherinfo/2474	
NCPPB 2478					2478	Burkholderia gladioli pv. alliicola					Pseudomonas gladioli pv. alliicola (Burkholder 1942) Young, Dye & Wilkie 1978	Pseudomonas alliicola	Pseudomonas gladioli pv. alliicola (Burkholder 1942) Young, Dye & Wilkie 1978	(Burkholder 1942) Young et al. 1996	Bacteria	No	No	India				Allium cepa		ex H.K. Saksena;	J.F. Bradbury		B5084	1972	1972		No									https://ncppb.fera.co.uk/furtherinfo/2478	
NCPPB 2479					2479	Pseudomonas cichorii					Pseudomonas cichorii (Swingle 1925) Stapp 1928	Pseudomonas cichorii		(Swingle 1925) Stapp 1928	Bacteria	No	No	Barbados				Lactuca sativa		ex D. Norse 157a	J.F. Bradbury		B4882	1972	1971		No		LOPAT Group III							https://ncppb.fera.co.uk/furtherinfo/2479	
NCPPB 2480					2480	Pseudomonas syringae pv. striafaciens					Pseudomonas syringae pv. striafaciens (Elliott 1927) Young, Dye & Wilkie 1978	Pseudomonas striafaciens		(Elliott 1927) Young, Dye & Wilkie 1978	Bacteria	No	No	Zimbabwe				Avena sativa		J.F. Bradbury B4757				1972	1971		No		Isolated in the UK. Pathogenicity not tested.							https://ncppb.fera.co.uk/furtherinfo/2480	
NCPPB 2481					2481	Pseudomonas syringae pv. coronafaciens					Pseudomonas syringae pv. coronafaciens (Elliott 1920) Young, Dye & Wilkie 1978	Pseudomonas. coronafaciens		(Elliott 1920) Young, Dye & Wilkie 1978	Bacteria	No	No	Kenya				Avena sativa		ex D.C. Harris	J.F. Bradbury		B4591	1972	1970		Yes	Harder, D.E., Harris, D.C. 1973. E. Africa Agric. F. J 38: 241	Causes symptoms on oats intermediate. Between halo blight and stripe blight							https://ncppb.fera.co.uk/furtherinfo/2481	
NCPPB 2482					2482	Pseudomonas syringae pv. pisi					Pseudomonas syringae pv. pisi (Sacket 1916) Young, Dye & Wilkie 1978	Pseudomonas  pisi		(Sacket 1916) Young, Dye & Wilkie 1978	Bacteria	No	No	India				Pisum sativum		ex S.V. Hegde PPl	J.F. Bradbury		B5021	1972	1971		Yes					No				https://ncppb.fera.co.uk/furtherinfo/2482	
NCPPB 2483					2483	Pseudomonas syringae pv. sesami					Pseudomonas syringae pv. sesami (Malkoff 1906) Young, Dye & Wilkie 1978	Pseudomonas  sesami		(Malkoff 1906) Young, Dye & Wilkie 1978	Bacteria	No	No	India				Sesamum indicum		J.F. Bradbury B5020				1972	1971		No		Atypical REP-PCR profile.							https://ncppb.fera.co.uk/furtherinfo/2483	
NCPPB 2484					2484	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Uganda				Arachis hypogaea		J.F. Bradbury B4084				1972	1969		No		Biovar III.							https://ncppb.fera.co.uk/furtherinfo/2484	
NCPPB 2485					2485	Robbsia andropogonis					Burkholderia andropogonis (Smith 1911) Gillis et al. 1995	Burkholderia andropogonis	Pseudomonas andropogonis (Smith 1911) Stapp 1928, Burkholderia adropogonis (Smith 1911) Gillis et al. 1995, Paraburkholderia andropogonis (Gillis et al. 1995) Sawana et al. 2014	Lopes-Santos et al 2017	Bacteria	No	No	Kenya				Bougainvillea sp.		J.F. Bradbury B4376a				1972	1970		No									https://ncppb.fera.co.uk/furtherinfo/2485	
NCPPB 2486					2486	Pseudomonas syringae					Pseudomonas syringae van Hall 1902	Pseudomonas syringae van Hall 1902		van Hall 1902	Bacteria	No	No	Iran				Aquilegia olympica		J.F. Bradbury B4277				1972	1969		No									https://ncppb.fera.co.uk/furtherinfo/2486	
NCPPB 2487					2487	Pseudomonas syringae					Pseudomonas syringae van Hall 1902	Pseudomonas syringae van Hall 1902		van Hall 1902	Bacteria	No	No	New Zealand				Protea lacticola		ex A.F. Rainbow 4275	J.F. Bradbury B4914			1972	1970		Yes		Isolated from Protea lacticola inoculated with an organism isolated from Lupinus sp.			No				https://ncppb.fera.co.uk/furtherinfo/2487	
NCPPB 2488					2488	Pseudomonas syringae pv. tagetis					Pseudomonas syringae pv. tagetis (Hellmers 1955) Young, Dye and Wilkie 1978	Pseudomonas  tagetis		(Hellmers 1955) Young, Dye and Wilkie 1978	Bacteria	No	Yes	Zimbabwe				Tagetes erecta		J.F. Bradbury B5063				1972	1972		Yes		LOPAT Gp I.	PDDCC 4091, ICMP 4091, CFBP 1694, LMG 5092						https://ncppb.fera.co.uk/furtherinfo/2488	
NCPPB 2489					2489	Pseudomonas syringae pv. tagetis					Pseudomonas syringae pv. tagetis (Hellmers 1955) Young, Dye and Wilkie 1978	Pseudomonas  tagetis		(Hellmers 1955) Young, Dye and Wilkie 1978	Bacteria	No	No	UK				Tagetes erecta		J.F. Bradbury B4532				1972	1970		Yes		LOPAT Gp 1.							https://ncppb.fera.co.uk/furtherinfo/2489	
NCPPB 2493					2493	Sphingomonas paucimobilis					Sphingomonas paucimobilis (Holmes et al.1977) Yabuchi et al. 1990	Xanthomonas campestris pv. Cucurbitae	Pseudomonas paucimobilis Holmes et al.1977	(Holmes et al.1977) Yabuchi et al. 1990	Bacteria	No	No	Brunei				Cucurbita sp. (gourd)		J.F. Bradbury B4487				1972	1970		No		Not a Xanthomonas sp. Fatty acid profile typical of Pseudomonas paucimobilis.							https://ncppb.fera.co.uk/furtherinfo/2493	
NCPPB 2500					2500	Burkholderia gladioli pv. alliicola					Pseudomonas gladioli pv. alliicola (Burkholder 1942) Young, Dye & Wilkie 1978	Pseudomonas alliicola	Pseudomonas gladioli pv. alliicola (Burkholder 1942) Young, Dye & Wilkie 1978	(Burkholder 1942) Young et al. 1996	Bacteria	No	No	Spain				Allium cepa		P. Roberts A408/a2				1972	1972		Yes									https://ncppb.fera.co.uk/furtherinfo/2500	
