biosample	biosample_id	organism	taxid	title	Assembly_method	ENA-CHECKLIST	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	ENA_first_public	ENA_last_update	External_Id	GUNC_clade_separation_score	GUNC_contamination_score	GUNC_reference_representation_score	GUNC_version	Genome_Coverage	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Isolate_code	Isolate_name	MAG_coverage_software	SPIRE_genome_cluster	SPIRE_genome_id	Sequencing_Method	Submitter_Id	Version	age	assembly_quality	assembly_software	binning_parameters	binning_software	biomaterial_provider	biome	broad-scale_environmental_context	coll_site_geo_feat	collected_by	collection-date	collection_date	common_name	completeness_score	completeness_software	contamination_score	contig_N50	country	cultivar	culture-collection	culture_collection	depth	derived-from	derived-from-SRA	derived_from	derived_from_assembly	ecotype	elev	env_biome	env_broad_scale	env_feature	env_local_scale	env_material	env_medium	environmental-sample	environmental_medium	feature	food_product_type	genotype	geo_loc_name	geographic_location__country_and_or_sea_	geographic_location__latitude_	geographic_location__longitude_	geographic_location__region_and_locality_	host	host_common_name	host_genotype	host_health_state	host_scientific_name	host_taxid	host_tissue_sampled	identified_by	ifsac_category	isol_growth_condt	isolate	isolate_name_alias	isolation-source	isolation_source	lat_lon	linked_to_SPIRE_sample	linked_to_SPIRE_study	linked_to_analysis_project	local_environmental_context	material	metagenome-source	metagenome_source	metagenomic	metagenomic_source	note	num_replicons	number_of_contigs	plant_body_site	project_name	ref_biomaterial	replicate	sample-type	sample_code	sample_derived_from	sample_name	sample_type	scientific_name	soil_horizon	strain	subsrc_note	taxonomic_classification	taxonomic_classification_software	taxonomic_identity_marker	temp	tissue	type-material
SAMEA104472961	9555744	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:31Z	2018-06-18T18:20:06Z			SAMEA104472961							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:31Z	2018-06-18T18:20:06Z	public							p6.A11														Pseudomonas sp. 286																																																																		p6.A11		Pseudomonas sp. 286									
SAMEA104472962	9555745	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:31Z	2018-06-18T18:20:06Z			SAMEA104472962							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:31Z	2018-06-18T18:20:06Z	public							p6.A1														Pseudomonas sp. 286																																																																		p6.A1		Pseudomonas sp. 286									
SAMEA104472963	9555746	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:31Z	2018-06-18T18:20:06Z			SAMEA104472963							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:31Z	2018-06-18T18:20:06Z	public							p6.A5														Pseudomonas sp. 286																																																																		p6.A5		Pseudomonas sp. 286									
SAMEA104472964	9555747	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:31Z	2018-06-18T18:20:06Z			SAMEA104472964							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:31Z	2018-06-18T18:20:06Z	public							p6.A6														Pseudomonas sp. 286																																																																		p6.A6		Pseudomonas sp. 286									
SAMEA104472965	9555748	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:32Z	2018-06-18T18:20:06Z			SAMEA104472965							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:32Z	2018-06-18T18:20:06Z	public							p6.A7														Pseudomonas sp. 286																																																																		p6.A7		Pseudomonas sp. 286									
SAMEA104472966	9555749	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:32Z	2018-06-18T18:20:06Z			SAMEA104472966							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:32Z	2018-06-18T18:20:06Z	public							p6.A8														Pseudomonas sp. 286																																																																		p6.A8		Pseudomonas sp. 286									
SAMEA104472967	9555750	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:32Z	2018-06-18T18:20:06Z			SAMEA104472967							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:32Z	2018-06-18T18:20:06Z	public							p6.A9														Pseudomonas sp. 286																																																																		p6.A9		Pseudomonas sp. 286									
SAMEA104472968	9555751	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:33Z	2018-06-18T18:20:06Z			SAMEA104472968							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:33Z	2018-06-18T18:20:06Z	public							p6.B10														Pseudomonas sp. 286																																																																		p6.B10		Pseudomonas sp. 286									
SAMEA104472969	9555752	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:33Z	2018-06-18T18:20:06Z			SAMEA104472969							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:33Z	2018-06-18T18:20:06Z	public							p6.B11														Pseudomonas sp. 286																																																																		p6.B11		Pseudomonas sp. 286									
SAMEA104472970	9555753	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:33Z	2018-06-18T18:20:06Z			SAMEA104472970							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:33Z	2018-06-18T18:20:06Z	public							p6.B1														Pseudomonas sp. 286																																																																		p6.B1		Pseudomonas sp. 286									
SAMEA104472971	9555754	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:33Z	2018-06-18T18:20:06Z			SAMEA104472971							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:33Z	2018-06-18T18:20:06Z	public							p6.B2														Pseudomonas sp. 286																																																																		p6.B2		Pseudomonas sp. 286									
SAMEA104472972	9555755	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:34Z	2018-06-18T18:20:06Z			SAMEA104472972							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:34Z	2018-06-18T18:20:06Z	public							p6.B3														Pseudomonas sp. 286																																																																		p6.B3		Pseudomonas sp. 286									
SAMEA104472973	9555756	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:34Z	2018-06-18T18:20:06Z			SAMEA104472973							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:34Z	2018-06-18T18:20:06Z	public							p6.B4														Pseudomonas sp. 286																																																																		p6.B4		Pseudomonas sp. 286									
SAMEA104472974	9555757	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:34Z	2018-06-18T18:20:06Z			SAMEA104472974							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:34Z	2018-06-18T18:20:06Z	public							p6.B5														Pseudomonas sp. 286																																																																		p6.B5		Pseudomonas sp. 286									
SAMEA104472975	9555758	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:35Z	2018-06-18T18:20:06Z			SAMEA104472975							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:35Z	2018-06-18T18:20:06Z	public							p6.B6														Pseudomonas sp. 286																																																																		p6.B6		Pseudomonas sp. 286									
SAMEA104472976	9555759	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:35Z	2018-06-18T18:20:06Z			SAMEA104472976							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:35Z	2018-06-18T18:20:06Z	public							p6.B7														Pseudomonas sp. 286																																																																		p6.B7		Pseudomonas sp. 286									
SAMEA104472977	9555760	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:35Z	2018-06-18T18:20:06Z			SAMEA104472977							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:35Z	2018-06-18T18:20:06Z	public							p6.B8														Pseudomonas sp. 286																																																																		p6.B8		Pseudomonas sp. 286									
SAMEA104472978	9555761	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:36Z	2018-06-18T18:20:06Z			SAMEA104472978							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:36Z	2018-06-18T18:20:06Z	public							p6.B9														Pseudomonas sp. 286																																																																		p6.B9		Pseudomonas sp. 286									
SAMEA104472979	9555762	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:36Z	2018-06-18T18:20:06Z			SAMEA104472979							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:36Z	2018-06-18T18:20:06Z	public							p6.C10														Pseudomonas sp. 286																																																																		p6.C10		Pseudomonas sp. 286									
SAMEA104472980	9555763	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:36Z	2018-06-18T18:20:06Z			SAMEA104472980							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:36Z	2018-06-18T18:20:06Z	public							p6.C11														Pseudomonas sp. 286																																																																		p6.C11		Pseudomonas sp. 286									
SAMEA104472981	9555764	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:36Z	2018-06-18T18:20:06Z			SAMEA104472981							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:36Z	2018-06-18T18:20:06Z	public							p6.C1														Pseudomonas sp. 286																																																																		p6.C1		Pseudomonas sp. 286									
SAMEA104472982	9555765	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:37Z	2018-06-18T18:20:06Z			SAMEA104472982							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:37Z	2018-06-18T18:20:06Z	public							p6.C2														Pseudomonas sp. 286																																																																		p6.C2		Pseudomonas sp. 286									
SAMEA104472983	9555766	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:37Z	2018-06-18T18:20:06Z			SAMEA104472983							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:37Z	2018-06-18T18:20:06Z	public							p6.C3														Pseudomonas sp. 286																																																																		p6.C3		Pseudomonas sp. 286									
SAMEA104472984	9555767	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:37Z	2018-06-18T18:20:06Z			SAMEA104472984							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:37Z	2018-06-18T18:20:06Z	public							p6.C4														Pseudomonas sp. 286																																																																		p6.C4		Pseudomonas sp. 286									
SAMEA104472985	9555768	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:38Z	2018-06-18T18:20:06Z			SAMEA104472985							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:38Z	2018-06-18T18:20:06Z	public							p6.C5														Pseudomonas sp. 286																																																																		p6.C5		Pseudomonas sp. 286									
SAMEA104472986	9555769	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:38Z	2018-06-18T18:20:06Z			SAMEA104472986							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:38Z	2018-06-18T18:20:06Z	public							p6.C6														Pseudomonas sp. 286																																																																		p6.C6		Pseudomonas sp. 286									
SAMEA104472987	9555770	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:38Z	2018-06-18T18:20:06Z			SAMEA104472987							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:38Z	2018-06-18T18:20:06Z	public							p6.C7														Pseudomonas sp. 286																																																																		p6.C7		Pseudomonas sp. 286									
SAMEA104472988	9555771	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:38Z	2018-06-18T18:20:06Z			SAMEA104472988							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:38Z	2018-06-18T18:20:06Z	public							p6.C8														Pseudomonas sp. 286																																																																		p6.C8		Pseudomonas sp. 286									
SAMEA104472989	9555772	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:39Z	2018-06-18T18:20:06Z			SAMEA104472989							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:39Z	2018-06-18T18:20:06Z	public							p6.C9														Pseudomonas sp. 286																																																																		p6.C9		Pseudomonas sp. 286									
SAMEA104472990	9555773	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:39Z	2018-06-18T18:20:06Z			SAMEA104472990							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:39Z	2018-06-18T18:20:06Z	public							p6.D10														Pseudomonas sp. 286																																																																		p6.D10		Pseudomonas sp. 286									
SAMEA104472991	9555774	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:40Z	2018-06-18T18:20:06Z			SAMEA104472991							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:40Z	2018-06-18T18:20:06Z	public							p6.D11														Pseudomonas sp. 286																																																																		p6.D11		Pseudomonas sp. 286									
SAMEA104472992	9555775	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:40Z	2018-06-18T18:20:06Z			SAMEA104472992							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:40Z	2018-06-18T18:20:06Z	public							p6.D1														Pseudomonas sp. 286																																																																		p6.D1		Pseudomonas sp. 286									
SAMEA104472993	9555776	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:40Z	2018-06-18T18:20:06Z			SAMEA104472993							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:40Z	2018-06-18T18:20:06Z	public							p6.D2														Pseudomonas sp. 286																																																																		p6.D2		Pseudomonas sp. 286									
SAMEA104472994	9555777	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:40Z	2018-06-18T18:20:06Z			SAMEA104472994							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:40Z	2018-06-18T18:20:06Z	public							p6.D3														Pseudomonas sp. 286																																																																		p6.D3		Pseudomonas sp. 286									
SAMEA104472995	9555778	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:41Z	2018-06-18T18:20:06Z			SAMEA104472995							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:41Z	2018-06-18T18:20:06Z	public							p6.D4														Pseudomonas sp. 286																																																																		p6.D4		Pseudomonas sp. 286									
SAMEA104472996	9555779	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:41Z	2018-06-18T18:20:06Z			SAMEA104472996							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:41Z	2018-06-18T18:20:06Z	public							p6.D5														Pseudomonas sp. 286																																																																		p6.D5		Pseudomonas sp. 286									
SAMEA104472997	9555780	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:41Z	2018-06-18T18:20:06Z			SAMEA104472997							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:41Z	2018-06-18T18:20:06Z	public							p6.D6														Pseudomonas sp. 286																																																																		p6.D6		Pseudomonas sp. 286									
SAMEA104472998	9555781	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:42Z	2018-06-18T18:20:06Z			SAMEA104472998							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:42Z	2018-06-18T18:20:06Z	public							p6.D7														Pseudomonas sp. 286																																																																		p6.D7		Pseudomonas sp. 286									
SAMEA104472999	9555782	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:42Z	2018-06-18T18:20:06Z			SAMEA104472999							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:42Z	2018-06-18T18:20:06Z	public							p6.D8														Pseudomonas sp. 286																																																																		p6.D8		Pseudomonas sp. 286									
SAMEA104473000	9555783	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:42Z	2018-06-18T18:20:06Z			SAMEA104473000							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:42Z	2018-06-18T18:20:06Z	public							p6.D9														Pseudomonas sp. 286																																																																		p6.D9		Pseudomonas sp. 286									
SAMEA104473001	9555784	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:42Z	2018-06-18T18:20:06Z			SAMEA104473001							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:42Z	2018-06-18T18:20:06Z	public							p6.E10														Pseudomonas sp. 286																																																																		p6.E10		Pseudomonas sp. 286									
SAMEA104473002	9555785	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:43Z	2018-06-18T18:20:06Z			SAMEA104473002							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:43Z	2018-06-18T18:20:06Z	public							p6.E11														Pseudomonas sp. 286																																																																		p6.E11		Pseudomonas sp. 286									
SAMEA104473003	9555786	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:43Z	2018-06-18T18:20:06Z			SAMEA104473003							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:43Z	2018-06-18T18:20:06Z	public							p6.E1														Pseudomonas sp. 286																																																																		p6.E1		Pseudomonas sp. 286									
SAMEA104473004	9555787	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:43Z	2018-06-18T18:20:06Z			SAMEA104473004							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:43Z	2018-06-18T18:20:06Z	public							p6.E2														Pseudomonas sp. 286																																																																		p6.E2		Pseudomonas sp. 286									
SAMEA104473005	9555788	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:44Z	2018-06-18T18:20:06Z			SAMEA104473005							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:44Z	2018-06-18T18:20:06Z	public							p6.E3														Pseudomonas sp. 286																																																																		p6.E3		Pseudomonas sp. 286									
SAMEA104473006	9555789	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:44Z	2018-06-18T18:20:06Z			SAMEA104473006							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:44Z	2018-06-18T18:20:06Z	public							p6.E4														Pseudomonas sp. 286																																																																		p6.E4		Pseudomonas sp. 286									
SAMEA104473007	9555790	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:44Z	2018-06-18T18:20:06Z			SAMEA104473007							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:44Z	2018-06-18T18:20:06Z	public							p6.E6														Pseudomonas sp. 286																																																																		p6.E6		Pseudomonas sp. 286									
SAMEA104473008	9555791	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:44Z	2018-06-18T18:20:06Z			SAMEA104473008							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:44Z	2018-06-18T18:20:06Z	public							p6.E7														Pseudomonas sp. 286																																																																		p6.E7		Pseudomonas sp. 286									
SAMEA104473009	9555792	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:45Z	2018-06-18T18:20:06Z			SAMEA104473009							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:45Z	2018-06-18T18:20:06Z	public							p6.E8														Pseudomonas sp. 286																																																																		p6.E8		Pseudomonas sp. 286									
SAMEA104473010	9555793	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:45Z	2018-06-18T18:20:06Z			SAMEA104473010							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:45Z	2018-06-18T18:20:06Z	public							p6.E9														Pseudomonas sp. 286																																																																		p6.E9		Pseudomonas sp. 286									
SAMEA104473011	9555794	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:45Z	2018-06-18T18:20:06Z			SAMEA104473011							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:45Z	2018-06-18T18:20:06Z	public							p6.F10														Pseudomonas sp. 286																																																																		p6.F10		Pseudomonas sp. 286									
SAMEA104473012	9555795	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:46Z	2018-06-18T18:20:06Z			SAMEA104473012							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:46Z	2018-06-18T18:20:06Z	public							p6.F11														Pseudomonas sp. 286																																																																		p6.F11		Pseudomonas sp. 286									
SAMEA104473013	9555796	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:46Z	2018-06-18T18:20:06Z			SAMEA104473013							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:46Z	2018-06-18T18:20:06Z	public							p6.F12														Pseudomonas sp. 286																																																																		p6.F12		Pseudomonas sp. 286									
SAMEA104473014	9555797	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:46Z	2018-06-18T18:20:06Z			SAMEA104473014							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:46Z	2018-06-18T18:20:06Z	public							p6.F1														Pseudomonas sp. 286																																																																		p6.F1		Pseudomonas sp. 286									
SAMEA104473015	9555798	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:47Z	2018-06-18T18:20:06Z			SAMEA104473015							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:47Z	2018-06-18T18:20:06Z	public							p6.F2														Pseudomonas sp. 286																																																																		p6.F2		Pseudomonas sp. 286									
SAMEA104473016	9555799	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:47Z	2018-06-18T18:20:06Z			SAMEA104473016							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:47Z	2018-06-18T18:20:06Z	public							p6.F3														Pseudomonas sp. 286																																																																		p6.F3		Pseudomonas sp. 286									
SAMEA104473017	9555800	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:47Z	2018-06-18T18:20:06Z			SAMEA104473017							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:47Z	2018-06-18T18:20:06Z	public							p6.F4														Pseudomonas sp. 286																																																																		p6.F4		Pseudomonas sp. 286									
SAMEA104473018	9555801	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:47Z	2018-06-18T18:20:05Z			SAMEA104473018							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:47Z	2018-06-18T18:20:05Z	public							p6.F5														Pseudomonas sp. 286																																																																		p6.F5		Pseudomonas sp. 286									
SAMEA104473019	9555802	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:48Z	2018-06-18T18:20:06Z			SAMEA104473019							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:48Z	2018-06-18T18:20:06Z	public							p6.F8														Pseudomonas sp. 286																																																																		p6.F8		Pseudomonas sp. 286									
SAMEA104473020	9555803	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:48Z	2018-06-18T18:20:06Z			SAMEA104473020							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:48Z	2018-06-18T18:20:06Z	public							p6.F9														Pseudomonas sp. 286																																																																		p6.F9		Pseudomonas sp. 286									
SAMEA104473021	9555804	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:48Z	2018-06-18T18:20:06Z			SAMEA104473021							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:48Z	2018-06-18T18:20:06Z	public							p6.G10														Pseudomonas sp. 286																																																																		p6.G10		Pseudomonas sp. 286									
SAMEA104473022	9555805	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:48Z	2018-06-18T18:20:06Z			SAMEA104473022							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:48Z	2018-06-18T18:20:06Z	public							p6.G1														Pseudomonas sp. 286																																																																		p6.G1		Pseudomonas sp. 286									
SAMEA104473023	9555806	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:49Z	2018-06-18T18:20:06Z			SAMEA104473023							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:49Z	2018-06-18T18:20:06Z	public							p6.G2														Pseudomonas sp. 286																																																																		p6.G2		Pseudomonas sp. 286									
SAMEA104473024	9555807	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:49Z	2018-06-18T18:20:06Z			SAMEA104473024							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:49Z	2018-06-18T18:20:06Z	public							p6.G3														Pseudomonas sp. 286																																																																		p6.G3		Pseudomonas sp. 286									
SAMEA104473025	9555808	Pseudomonas viridiflava		Sample from Pseudomonas viridiflava		ERC000011	2018-06-26T11:52:49Z	2018-06-18T18:20:06Z			SAMEA104473025							MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	2018-06-26T11:52:49Z	2018-06-18T18:20:06Z	public							p6.G4														Pseudomonas sp. 286																																																																		p6.G4		Pseudomonas sp. 286									
